,Company,TypeName,Inches,CpuS,Ram,Memorytype,Memory,Gpu,Weight,Cpu,Price
262,Dell,2 in 1 Convertible,15.6,1.6,8,SSD,256,Intel UHD Graphics 620,2.67,i5,799.0
263,Asus,2 in 1 Convertible,13.3,1.8,8,SSD,512,Intel UHD Graphics 620,1.1,i7,1499.0
264,Lenovo,Notebook,15.6,2.5,4,HDD,1000,Intel HD Graphics 620,2.2,i5,467.0
265,HP,Notebook,17.3,1.8,8,HDD,1000,Nvidia GeForce 930MX,2.5,i7,1018.0
266,Lenovo,Notebook,15.6,1.8,8,SSD,256,Intel UHD Graphics 620,2.05,i7,880.0
267,Apple,Ultrabook,13.3,2.9,8,SSD,512,Intel Iris Graphics 550,1.37,i5,1958.9
268,Asus,Gaming,17.3,3.0,16,SSD,256,AMD Radeon RX 580,3.2,i7,1549.0
269,Dell,Notebook,15.6,1.8,8,SSD,256,AMD Radeon 520,2.14,i7,735.07
270,Lenovo,2 in 1 Convertible,14.0,2.6,16,SSD,512,Intel HD Graphics 520,1.36,i7,2499.0
271,Toshiba,Notebook,15.6,2.5,8,HDD,500,Nvidia GeForce 930M,2.2,i7,812.0
272,Dell,Notebook,15.6,2.7,12,HDD,1000,Intel HD Graphics 620,2.3,i7,713.07
273,Dell,Notebook,17.3,1.8,8,SSD,128,AMD Radeon 530,2.8,i7,1099.0
274,Acer,Notebook,15.6,1.8,8,HDD,1000,Nvidia GeForce MX130,2.2,i7,745.0
275,Lenovo,Notebook,17.3,2.0,4,HDD,1000,Intel HD Graphics 520,2.8,i3,489.0
276,Lenovo,Notebook,17.3,1.8,8,HDD,2000,Nvidia GeForce MX150,2.8,i7,849.0
277,Lenovo,Notebook,17.3,2.7,6,SSD,128,Nvidia GeForce 940MX,2.8,i7,859.0
278,Dell,Notebook,15.6,2.0,4,HDD,1000,AMD Radeon R5 M430,2.25,i3,428.0
279,Lenovo,Gaming,15.6,2.5,8,SSD,256,Nvidia GeForce GTX 1050,2.5,i5,829.0
280,Lenovo,Notebook,15.6,2.5,6,SSD,256,Intel HD Graphics 620,2.2,i5,579.0
281,Acer,Notebook,15.6,1.8,8,SSD,256,Nvidia GeForce MX150,3,i7,951.0
282,Acer,Notebook,15.6,2.7,12,HDD,1000,Intel HD Graphics 620,2.15,i7,659.0
283,Lenovo,Notebook,15.6,2.7,8,SSD,256,Intel HD Graphics 630,1.95,i7,1097.0
284,Asus,Ultrabook,15.6,2.5,8,SSD,256,Nvidia GeForce 940MX,1.7,i5,977.0
285,Lenovo,Gaming,15.6,2.8,16,SSD,256,Nvidia GeForce GTX 1050Ti,2.5,i7,1179.0
286,Lenovo,Notebook,15.6,2.7,8,HDD,1000,Nvidia GeForce 940MX,2.2,i7,659.01
287,Acer,Notebook,15.6,1.5,2,SSD,16,Intel HD Graphics,2.19,Dual Core,199.0
288,Asus,Gaming,17.3,2.8,8,HDD,1000,Nvidia GeForce GTX 1050,3,i7,1187.0
289,HP,Notebook,17.3,2.0,8,HDD,1000,Intel HD Graphics 520,2.54,i3,489.0
290,Dell,Notebook,15.6,2.8,8,SSD,256,Nvidia GeForce GTX 1050,2,i7,1829.0
291,Lenovo,Notebook,15.6,1.6,8,SSD,256,Intel UHD Graphics 620,2.05,i5,739.0
292,Lenovo,Gaming,15.6,2.8,8,HDD,1000,Nvidia GeForce GTX 1060,3.2,i7,1299.0
293,Acer,Notebook,15.6,2.8,8,SSD,256,Nvidia GeForce GTX 1050Ti,2.5,i7,979.0
294,Lenovo,Notebook,15.6,2.4,6,HDD,1000,AMD Radeon R5 430,2.4,9600P,499.0
295,Asus,Ultrabook,15.6,2.7,16,SSD,512,Nvidia GeForce 940MX,1.63,i7,1468.0
296,Asus,Notebook,14.0,2.4,4,SSD,128,Intel HD Graphics 620,1.3,i3,509.0
297,Asus,Gaming,17.3,2.8,16,SSD,256,Nvidia GeForce GTX 1070,2.9,i7,2122.0
298,Lenovo,Notebook,17.3,2.5,6,HDD,1000,Nvidia GeForce GTX 940M,2.8,i5,649.0
299,Lenovo,Notebook,15.6,2.5,8,HDD,2000,Nvidia GeForce 940MX,2.2,i5,549.0
300,Asus,Gaming,15.6,2.8,8,SSD,128,Nvidia GeForce GTX 1050Ti,2.5,i7,1265.0
301,Lenovo,Notebook,15.6,1.1,4,HDD,1000,Intel HD Graphics 505,2.2,Quad Core,359.99
302,HP,2 in 1 Convertible,13.3,2.8,16,SSD,256,Intel HD Graphics 620,1.28,i7,1975.0
303,Toshiba,Notebook,15.6,2.5,8,SSD,256,Nvidia GeForce 930M,2.2,i7,1043.0
304,Lenovo,Notebook,15.6,2.5,8,SSD,128,Nvidia GeForce 940MX,2.3,i5,819.0
305,HP,Notebook,15.6,2.0,4,HDD,1000,Intel HD Graphics 520,1.86,i3,469.0
306,Lenovo,Notebook,13.3,2.5,8,SSD,256,Intel HD Graphics 620,1.1,i5,999.0
307,MSI,Gaming,15.6,2.8,16,SSD,256,Nvidia GeForce GTX 1070,2.8,i7,2099.0
308,Acer,Notebook,15.6,2.2,8,SSD,256,AMD Radeon R5,2.23,i7410,469.0
309,Asus,2 in 1 Convertible,11.6,1.1,2,Flash Storage,32,Intel HD Graphics 500,1.1,Dual Core,275.0
310,Dell,Notebook,15.6,1.6,8,SSD,128,AMD Radeon 530,2.33,i5,844.0
311,HP,2 in 1 Convertible,13.3,1.8,16,SSD,1000,Intel UHD Graphics 620,1.29,i7,2449.0
312,Lenovo,Notebook,13.3,1.6,4,Flash Storage,16,Intel HD Graphics 510,1.45,Dual Core,459.9
313,HP,Notebook,14.0,2.5,8,SSD,256,Intel HD Graphics 620,1.95,i5,980.0
314,Acer,Notebook,11.6,1.6,4,Flash Storage,128,Intel HD Graphics 405,1.4,Quad Core,485.0
315,HP,Notebook,14.0,2.7,8,SSD,256,Intel HD Graphics 620,1.48,i7,1292.0
316,Lenovo,Notebook,17.3,2.5,4,HDD,1000,Nvidia GeForce 920MX,2.79,i5,589.0
317,Asus,Notebook,14.0,2.7,8,SSD,256,Intel HD Graphics 620,2,i7,1094.0
318,HP,Notebook,15.6,1.8,8,HDD,1000,Intel UHD Graphics 620,2.1,i7,902.0
319,Acer,Notebook,15.6,2.7,8,SSD,256,AMD Radeon RX 540,2.2,9i720P,659.0
320,Lenovo,Notebook,14.0,1.1,4,Flash Storage,32,Intel HD Graphics 500,1.44,Dual Core,292.0
321,Acer,Notebook,15.6,2.5,6,HDD,1000,Intel HD Graphics 620,2.23,i5,549.0
322,Asus,Ultrabook,15.6,2.7,8,SSD,256,Nvidia GeForce 940MX,1.7,i7,1049.9
323,HP,Ultrabook,12.5,2.7,8,SSD,256,Intel HD Graphics 620,1.26,i7,1335.0
324,MSI,Gaming,17.3,2.8,8,SSD,256,Nvidia GeForce GTX 1050Ti,2.7,i7,1199.0
325,Toshiba,Notebook,15.6,2.5,8,SSD,256,Intel HD Graphics 620,2.0,i5,943.0
326,Asus,Notebook,14.0,2.7,8,SSD,256,Intel HD Graphics 620,2,i7,1334.0
327,Lenovo,Notebook,15.6,2.0,4,HDD,1000,Intel HD Graphics 520,1.85,i3,449.0
328,Asus,Gaming,15.6,2.8,8,SSD,256,Nvidia GeForce GTX 1050,2.5,i7,999.0
329,HP,Notebook,14.0,2.6,8,SSD,256,Intel HD Graphics 620,1.48,i5,1268.0
330,Dell,Ultrabook,15.6,1.6,8,SSD,128,Nvidia GeForce 940MX,1.9,i5,1049.0
331,HP,Notebook,15.6,2.5,8,SSD,256,Intel HD Graphics 620,1.84,i5,1144.0
332,Asus,Notebook,15.6,1.1,4,HDD,1000,Intel HD Graphics 500,2,Dual Core,274.99
333,Dell,Notebook,15.6,1.6,8,SSD,256,Nvidia GeForce 940MX,2,i5,1142.75
334,Dell,Notebook,15.6,1.6,4,HDD,500,Intel HD Graphics,2.2,Dual Core,274.9
335,Lenovo,Notebook,15.6,3.6,12,HDD,2000,AMD Radeon 530,2.2,9i720P,899.0
336,HP,Notebook,15.6,2.4,8,HDD,1000,Nvidia GeForce 930MX,2.1,i3,716.0
337,Lenovo,2 in 1 Convertible,13.9,1.8,16,SSD,512,Intel UHD Graphics 620,1.4,i7,2099.0
338,Dell,Ultrabook,13.3,1.8,8,SSD,256,Intel UHD Graphics 620,1.2,i7,1579.0
339,Lenovo,Gaming,15.6,2.8,16,SSD,256,Nvidia GeForce GTX 1050Ti,2.4,i7,1129.0
340,HP,Notebook,14.0,1.6,2,Flash Storage,32,Intel HD Graphics 400,1.44,Dual Core,279.0
341,Dell,Ultrabook,15.6,1.9,16,SSD,512,Intel UHD Graphics 620,1.88,i7,1607.96
342,Asus,2 in 1 Convertible,11.6,1.1,4,Flash Storage,32,Intel HD Graphics 500,1.5,Dual Core,375.0
343,Dell,Ultrabook,15.6,1.6,8,HDD,1000,AMD Radeon 530,1.9,i5,663.0
344,HP,Notebook,15.6,2.7,8,SSD,256,Intel HD Graphics 620,1.84,i7,1304.0
345,MSI,Gaming,17.3,2.8,8,SSD,128,Nvidia GeForce GTX 1060,2.7,i7,1409.0
346,HP,Workstation,15.6,2.8,8,SSD,256,Nvidia Quadro M1200,2.6,i7,1738.27
347,Toshiba,Notebook,15.6,2.5,16,SSD,512,Nvidia GeForce 930M,2.4,i7,1403.0
348,Dell,Notebook,15.6,1.8,8,SSD,128,AMD Radeon 530,2.02,i7,970.9
349,Lenovo,Notebook,15.6,1.1,4,HDD,1000,Intel HD Graphics 500,2.2,Dual Core,321.99
350,Dell,Gaming,15.6,2.5,8,HDD,1000,Nvidia GeForce GTX 1050,2.65,i5,999.0
351,Dell,Notebook,15.6,2.5,8,HDD,2000,Intel HD Graphics 620,2.36,i5,557.37
352,Dell,Notebook,14.0,2.6,8,SSD,256,Intel HD Graphics 620,1.36,i5,1427.0
353,HP,Notebook,15.6,2.0,4,HDD,500,Intel HD Graphics 520,1.86,i3,439.0
354,Asus,Notebook,14.0,2.5,8,SSD,256,Intel HD Graphics 620,2,i5,945.0
355,Lenovo,Notebook,17.3,2.5,6,SSD,128,Nvidia GeForce GTX 940MX,2.8,i5,719.0
356,HP,Notebook,15.6,2.5,8,HDD,1000,Intel HD Graphics 620,1.86,i5,639.0
357,Lenovo,Notebook,15.6,2.0,8,SSD,256,Nvidia GeForce 920MX,2.2,i3,499.0
358,HP,Notebook,15.6,1.6,8,HDD,2000,Intel HD Graphics 405,2.04,Quad Core,389.0
359,Dell,Notebook,17.3,1.6,8,SSD,128,AMD Radeon 530,2.8,i5,1085.0
360,Lenovo,Gaming,15.6,2.5,8,SSD,128,Nvidia GeForce GTX 1050,2.4,i5,809.0
361,Dell,Notebook,15.6,2.7,8,SSD,256,AMD Radeon R7 M445,2.33,i7,899.0
362,HP,Ultrabook,14.0,2.7,8,SSD,256,Intel HD Graphics 620,1.36,i7,1750.0
363,Asus,2 in 1 Convertible,15.6,2.7,12,SSD,512,Nvidia GeForce GT 940MX,2.26,i7,1099.0
364,Acer,Notebook,15.6,3.0,4,SSD,128,AMD Radeon R5,2.1,9420,426.0
365,Asus,Gaming,17.3,3.0,16,SSD,256,AMD Radeon RX 580,3.25,i7,2199.0
366,Lenovo,Notebook,17.3,2.2,4,SSD,128,AMD Radeon R5,2.6,i7410,489.0
367,Dell,2 in 1 Convertible,13.3,1.8,8,SSD,256,Intel UHD Graphics 620,1.62,i7,869.01
368,HP,Notebook,15.6,3.0,4,SSD,256,AMD Radeon R5,1.91,9420,488.99
369,Lenovo,Netbook,11.6,1.1,4,SSD,128,Intel HD Graphics 500,1.59,Quad Core,553.0
370,Dell,Notebook,15.6,1.6,4,HDD,500,Intel HD Graphics 400,1.8,Dual Core,309.0
371,Asus,Notebook,14.0,1.1,4,Flash Storage,32,Intel HD Graphics 500,1.5,Dual Core,286.0
372,Acer,Notebook,15.6,2.8,8,HDD,1000,Nvidia GeForce GTX 1050,2.4,i7,846.0
373,HP,Gaming,17.3,2.8,8,SSD,128,Nvidia GeForce GTX 1050,3.35,i7,1191.0
374,Lenovo,Notebook,15.6,2.0,4,SSD,128,Intel HD Graphics 520,1.85,i3,403.5
375,Asus,Gaming,15.6,2.8,8,SSD,128,Nvidia GeForce GTX 1060,2.3,i7,1655.0
376,Lenovo,Notebook,14.0,2.5,8,SSD,256,Nvidia GeForce 940MX,1.5,i5,1099.0
377,Asus,Ultrabook,13.3,2.7,16,SSD,512,Intel HD Graphics 620,1.1,i7,1748.9
378,Lenovo,Ultrabook,14.0,2.7,8,SSD,512,Intel HD Graphics 620,1.13,i7,2282.0
379,Lenovo,Notebook,13.3,2.4,4,SSD,128,Intel HD Graphics 620,1.5,i3,549.0
380,Dell,Workstation,15.6,2.6,8,HDD,500,AMD FirePro W5130M,2.23,i5,1369.0
381,Lenovo,2 in 1 Convertible,14.0,2.7,16,SSD,512,Intel HD Graphics 620,1.42,i7,2509.0
382,Asus,Gaming,17.3,2.8,8,HDD,1000,Nvidia GeForce GTX 1050,3,i7,1039.0
383,Asus,Gaming,17.3,2.8,16,SSD,256,Nvidia GeForce GTX 1050Ti,3,i7,1591.0
384,Acer,Notebook,15.6,1.6,12,HDD,1000,Nvidia GeForce MX130,2.2,i5,693.99
385,MSI,Gaming,17.3,2.8,8,SSD,256,Nvidia GeForce GTX 1050Ti,2.7,i7,1349.0
386,Dell,Notebook,15.6,2.7,8,SSD,256,AMD Radeon R7 M445,2.33,i7,778.87
387,HP,Ultrabook,15.6,3.0,4,SSD,256,AMD Radeon 520,1.91,9420,499.0
388,Lenovo,Notebook,15.6,1.8,8,SSD,256,AMD Radeon RX 550,2.1,i7,1229.56
389,Lenovo,Notebook,14.0,2.5,8,SSD,256,Intel HD Graphics 620,1.9,i5,938.0
390,Lenovo,Ultrabook,14.0,2.7,16,SSD,1000,Intel HD Graphics 620,1.13,i7,2625.0
391,Lenovo,Notebook,15.6,1.1,4,HDD,1000,Intel HD Graphics 500,2.2,Dual Core,306.0
392,Asus,Gaming,17.3,2.8,16,SSD,256,Nvidia GeForce GTX 1050,2.9,i7,1529.0
393,Lenovo,Notebook,15.6,1.6,8,SSD,256,AMD Radeon RX 550,2.1,i5,1144.5
394,Acer,Notebook,15.6,2.8,8,SSD,256,Nvidia GeForce GTX 1050,2.5,i7,879.0
395,MSI,Gaming,17.3,2.8,16,SSD,256,Nvidia GeForce GTX 1070,2.8,i7,2249.0
396,Asus,Ultrabook,14.0,2.7,8,SSD,512,Intel HD Graphics 620,1.10,i7,1873.0
397,Toshiba,Ultrabook,13.3,2.5,16,SSD,512,Intel HD Graphics 520,1.2,i7,1747.0
398,Dell,Ultrabook,14.0,2.8,8,SSD,512,Intel HD Graphics,1.36,i7,1680.0
399,Lenovo,Notebook,15.6,2.0,4,HDD,500,Intel HD Graphics 520,2.2,i3,409.0
400,Lenovo,Notebook,11.6,1.1,2,Flash Storage,32,Intel HD Graphics 500,1.15,Dual Core,304.45
401,Lenovo,Workstation,15.6,2.8,8,SSD,512,Nvidia Quadro M1200,2.67,i7,1925.0
402,Lenovo,Ultrabook,14.0,2.8,8,SSD,512,Nvidia GeForce GT 940MX,1.7,i7,1943.0
403,HP,Notebook,15.6,2.0,4,HDD,1000,AMD Radeon 520,2.1,i3,469.0
404,Acer,2 in 1 Convertible,13.3,2.5,8,SSD,256,Intel HD Graphics 520,1.6,i7,789.01
405,Asus,2 in 1 Convertible,13.3,2.5,8,SSD,256,Intel HD Graphics 620,1.27,i5,928.0
406,Dell,Notebook,15.6,2.5,4,SSD,256,AMD Radeon R5 M430,2.3,i5,598.9
407,Dell,Notebook,13.3,2.0,4,SSD,128,Intel HD Graphics 520,1.65,i3,689.0
408,HP,Ultrabook,14.0,2.5,8,SSD,256,Intel HD Graphics 520,1.43,i7,1500.0
409,Dell,Notebook,15.6,2.5,8,HDD,1000,Intel HD Graphics 620,2.14,i5,539.95
410,Lenovo,Ultrabook,14.0,1.8,8,SSD,256,AMD Radeon RX 550,1.75,i7,1215.38
411,Lenovo,2 in 1 Convertible,15.6,2.8,16,SSD,512,Nvidia GeForce GTX 1050,2,i7,1899.0
412,Chuwi,Notebook,12.3,1.1,6,Flash Storage,64,Intel HD Graphics 500,1.4,Quad Core,449.0
413,HP,Notebook,15.6,2.9,8,SSD,256,Intel HD Graphics 630,2.31,i7,1427.0
414,Asus,Notebook,15.6,2.4,8,HDD,1000,Nvidia GeForce 940MX,2.3,i3,597.0
415,Dell,Gaming,15.6,2.8,8,SSD,128,Nvidia GeForce GTX 1050Ti,2.62,i7,1159.0
416,Dell,Notebook,15.6,1.8,8,SSD,256,AMD Radeon 530,2.02,i7,1142.4
417,Dell,Ultrabook,14.0,2.8,8,SSD,256,Intel HD Graphics 620,1.6,i7,1099.0
418,HP,Gaming,17.3,2.8,12,SSD,256,Nvidia GeForce GTX 1070,3.35,i7,1999.0
419,Mediacom,2 in 1 Convertible,11.6,1.1,4,SSD,32,Intel HD Graphics 500,1.16,Dual Core,299.0
420,Lenovo,Notebook,13.3,2.7,8,SSD,256,Intel HD Graphics 620,1.4,i7,1010.0
421,Lenovo,Notebook,14.0,2.7,4,SSD,128,Intel HD Graphics 620,1.7,i3,599.0
422,Lenovo,Workstation,15.6,2.8,16,SSD,512,Nvidia GeForce 940MX,2.3,i7,2445.0
423,Lenovo,Notebook,15.6,2.9,16,SSD,512,Nvidia Quadro M2200M,2.5,i7,2449.0
424,Asus,Gaming,17.3,3.2,8,SSD,256,AMD Radeon RX 580,3.2,5,1695.0
425,HP,Notebook,15.6,1.6,4,HDD,500,Intel HD Graphics 400,2.1,Dual Core,347.0
426,Google,Ultrabook,12.3,1.3,16,SSD,512,Intel HD Graphics 615,1.1,i7,2199.0
427,Lenovo,Ultrabook,14.0,2.7,24,SSD,512,Intel HD Graphics 620,1.32,i7,2382.0
428,Asus,Notebook,15.6,2.5,4,SSD,256,Intel HD Graphics 620,2,i5,559.0
429,Lenovo,Notebook,17.3,2.5,8,HDD,1000,AMD Radeon R4,2.8,9220,519.0
430,Dell,Notebook,15.6,1.6,4,SSD,256,AMD Radeon 530,2.2,i5,749.0
431,Lenovo,Ultrabook,12.5,2.5,8,SSD,256,Intel HD Graphics 620,1.36,i5,1429.0
432,Lenovo,Notebook,15.6,1.1,4,SSD,128,Intel HD Graphics 505,2.2,Quad Core,349.0
433,HP,Gaming,15.6,2.8,8,SSD,128,Nvidia GeForce GTX 1050,2.2,i7,1099.0
434,Dell,Notebook,14.0,2.8,8,SSD,256,Nvidia GeForce 930MX,1.64,i5,1179.0
435,Acer,Notebook,15.6,2.5,4,HDD,500,Intel HD Graphics 620,2.4,i5,441.8
436,Dell,Workstation,15.6,3.0,8,Flash Storage,64,Nvidia Quadro M620,2.23,E3-1505M,1993.0
437,MSI,Gaming,15.6,2.5,8,SSD,256,Nvidia GeForce GTX 1050,2.2,i5,1027.74
438,Microsoft,Ultrabook,13.5,2.5,16,SSD,512,Intel Iris Plus Graphics 640,1.25,i7,2589.0
439,HP,Notebook,15.6,2.5,8,SSD,128,Intel HD Graphics 620,1.91,i5,589.0
440,Dell,Workstation,15.6,2.7,16,SSD,256,Nvidia Quadro M620,2.17,i7,1975.0
441,HP,Workstation,15.6,2.9,8,SSD,512,Intel HD Graphics 620,2.31,i7,1534.0
442,Lenovo,Notebook,14.0,2.5,8,SSD,256,Intel HD Graphics 620,1.65,i5,1345.0
443,Dell,Notebook,15.6,1.8,8,SSD,128,AMD Radeon 530,2.36,i7,979.0
444,Dell,2 in 1 Convertible,11.6,1.6,4,HDD,500,Intel HD Graphics 405,1.47,Quad Core,479.0
445,Microsoft,Ultrabook,13.5,2.2,4,SSD,128,Intel HD Graphics 615,1.252,M,989.0
446,Microsoft,Ultrabook,13.5,2.5,8,SSD,256,Intel Iris Plus Graphics 640,1.25,i7,1799.0
447,HP,Notebook,17.3,2.0,8,SSD,256,Intel HD Graphics 520,2.5,i3,639.9
448,Acer,Notebook,15.6,2.0,4,HDD,1000,Nvidia GeForce 940MX,2.23,i3,544.0
449,Acer,Netbook,11.6,1.6,4,SSD,128,Intel HD Graphics 400,1.4,Dual Core,435.0
450,Asus,Notebook,15.6,2.5,8,HDD,1000,Intel HD Graphics 620,2.37,i5,749.0
451,Lenovo,Notebook,14.0,2.7,8,SSD,512,AMD Radeon R7 M460,1.5,i7,799.0
452,Lenovo,Notebook,15.6,2.9,8,SSD,256,Nvidia Quadro M2200M,2.67,i7,2090.0
453,Asus,Notebook,15.6,1.1,4,HDD,500,Intel HD Graphics 500,2,Quad Core,304.0
454,Acer,Notebook,15.6,2.0,4,HDD,500,Nvidia GeForce GTX 940MX,2.2,i3,469.0
455,Dell,Notebook,15.6,1.6,8,HDD,2000,AMD Radeon 530,2.02,i5,759.0
456,HP,Gaming,17.3,2.8,12,HDD,1000,Nvidia GeForce GTX 1060,3.78,i7,1699.0
457,Lenovo,Ultrabook,14.0,2.6,12,SSD,256,Intel HD Graphics 520,1.4,i7,1858.0
458,HP,2 in 1 Convertible,13.3,1.8,8,SSD,512,Intel UHD Graphics 620,1.29,i7,1999.0
459,HP,Notebook,15.6,2.5,8,HDD,500,AMD FirePro W4190M,1.9,i5,1154.0
460,Google,Ultrabook,12.3,1.2,8,SSD,128,Intel HD Graphics 615,1.1,i5,1275.0
461,Dell,Ultrabook,13.3,1.6,8,SSD,256,Intel UHD Graphics 620,1.42,i5,1841.85
462,Asus,Notebook,15.6,2.6,12,SSD,128,Intel HD Graphics 530,2.06,i7,1299.0
463,Dell,Notebook,14.0,2.3,8,SSD,128,Intel HD Graphics 520,1.79,i3,740.0
464,Lenovo,Notebook,14.0,2.5,8,SSD,180,Intel HD Graphics 620,1.7,i5,1364.0
465,Dell,Notebook,15.6,1.6,8,HDD,1000,AMD Radeon 520,2.2,i5,675.0
466,Toshiba,Notebook,13.3,2.5,8,SSD,256,Intel HD Graphics 620,1.05,i5,1672.0
467,Dell,Notebook,15.6,1.8,8,SSD,512,Nvidia GeForce 940MX,2.16,i7,1262.0
468,Dell,Notebook,15.6,2.4,4,HDD,1000,Intel HD Graphics 620,2.18,i3,586.6
469,HP,Notebook,13.3,1.6,4,SSD,128,Intel UHD Graphics 620,1.49,i5,726.0
470,Chuwi,Notebook,15.6,1.44,4,Flash Storage,64,Intel HD Graphics,1.89,x5-Z8350,248.9
471,Lenovo,Notebook,15.6,2.0,4,SSD,128,Intel HD Graphics 520,2.3,i3,565.0
472,Lenovo,Notebook,14.0,1.6,8,SSD,256,Intel UHD Graphics 620,1.75,i5,1049.0
473,Dell,Notebook,15.6,2.8,16,SSD,512,Nvidia GeForce GTX 1050,2.06,i7,1899.0
474,Lenovo,Ultrabook,12.5,2.7,16,SSD,512,Intel HD Graphics 620,1.36,i7,1798.0
475,Asus,Ultrabook,12.5,2.7,16,SSD,512,Intel HD Graphics 620,0.91,i7,1950.0
476,Lenovo,Notebook,15.6,2.5,8,SSD,256,Nvidia GeForce 940MX,2.3,i5,1011.99
477,Asus,Gaming,15.6,2.8,8,SSD,128,Nvidia GeForce GTX 1050,1.99,i7,1350.0
478,Acer,Notebook,15.6,2.5,8,HDD,1000,AMD Radeon RX 540,2.2,9620P,579.0
479,Asus,Gaming,17.3,2.6,24,SSD,256,Nvidia GeForce GTX 965M,4.33,i7,1269.0
480,Lenovo,Ultrabook,12.5,2.3,8,SSD,180,Intel HD Graphics 520,1.3,i5,1099.0
481,Lenovo,Notebook,15.6,1.8,8,SSD,256,Intel UHD Graphics 620,2.17,i7,898.9
482,HP,Notebook,14.0,2.8,8,SSD,1000,Intel HD Graphics 620,1.48,i7,1749.0
483,Lenovo,Notebook,13.3,2.4,8,SSD,256,Intel HD Graphics 620,1.4,i3,949.0
484,Lenovo,Notebook,15.6,2.5,8,SSD,256,Intel HD Graphics 620,2.3,i5,911.0
485,Asus,Netbook,11.6,1.1,4,Flash Storage,64,Intel HD Graphics 500,1.2,Dual Core,340.0
486,HP,Notebook,15.6,2.5,8,SSD,256,AMD Radeon 520,1.91,i5,618.99
487,Lenovo,2 in 1 Convertible,13.9,1.6,8,SSD,256,Intel UHD Graphics 620,1.4,i5,1599.0
488,Lenovo,Notebook,14.0,1.1,4,HDD,500,Intel HD Graphics 500,2.1,Dual Core,299.0
489,Lenovo,Netbook,11.6,1.6,4,SSD,16,Intel HD Graphics 400,1.25,Dual Core,265.0
490,Lenovo,Notebook,13.3,2.5,8,SSD,256,Intel HD Graphics 620,1.44,i5,949.0
491,Asus,Notebook,15.6,2.7,8,SSD,256,Intel HD Graphics 620,2,i7,1224.0
492,Acer,Notebook,15.6,1.6,4,HDD,1000,Nvidia GeForce MX150,2.2,i5,613.0
493,HP,Ultrabook,13.3,2.7,8,SSD,512,Intel HD Graphics 620,1.34,i7,1323.0
494,Lenovo,Gaming,15.6,2.8,8,SSD,256,Nvidia GeForce GTX 1060,2.4,i7,1149.0
495,Dell,Ultrabook,13.3,2.5,8,SSD,128,Intel HD Graphics 620,1.29,i5,899.0
496,Acer,Notebook,15.6,2.7,4,HDD,500,Nvidia GeForce 940MX,2.2,i7,639.0
497,Dell,Notebook,15.6,2.5,8,HDD,1000,Intel HD Graphics 620,2.18,i5,836.0
498,Dell,Notebook,15.6,1.8,16,SSD,256,AMD Radeon 530,2.2,i7,1219.24
499,Xiaomi,Notebook,15.6,1.8,16,SSD,256,Nvidia GeForce MX150,1.95,i7,1399.95
500,Asus,Netbook,11.6,1.1,2,Flash Storage,32,Intel HD Graphics 500,1.1,Dual Core,245.0
501,HP,Notebook,15.6,1.6,4,HDD,1000,Intel UHD Graphics 620,2.04,i5,521.47
502,Asus,Gaming,15.6,2.8,24,SSD,512,Nvidia GeForce GTX1080,2.24,i7,2821.2
503,HP,Notebook,15.6,2.5,8,SSD,256,Nvidia GeForce 930MX,2.04,i5,889.0
504,Asus,Gaming,17.3,2.8,16,SSD,256,Nvidia GeForce GTX1050 Ti,3,i7,1504.0
505,Lenovo,Gaming,15.6,2.8,8,SSD,256,Nvidia GeForce GTX 1060,3.2,i7,1399.0
506,HP,Ultrabook,13.3,2.7,8,SSD,256,Intel HD Graphics 620,1.32,i7,1399.0
507,Dell,Notebook,14.0,2.6,8,SSD,256,Intel HD Graphics 620,1.64,i5,1279.73
508,HP,Notebook,15.6,2.0,4,SSD,128,Intel HD Graphics 520,1.63,i3,689.0
509,Dell,Notebook,17.3,1.6,8,SSD,128,AMD Radeon 530,2.8,i5,889.0
510,Lenovo,Notebook,14.0,2.3,8,SSD,256,Intel HD Graphics 520,2.02,i5,1340.0
511,Lenovo,Notebook,15.6,2.7,4,HDD,1000,Nvidia GeForce 920MX,2.2,i7,799.0
512,Lenovo,Notebook,15.6,2.0,8,HDD,2000,Nvidia GeForce 920MX,2.2,i3,459.0
513,Dell,Notebook,15.6,2.5,4,HDD,500,AMD Radeon R5 M430,2.3,i5,585.0
514,Dell,Notebook,15.6,2.8,8,SSD,256,Intel HD Graphics 620,1.9,i5,1377.0
515,Toshiba,Notebook,15.6,2.5,8,HDD,500,Intel HD Graphics 620,2.0,i5,860.0
516,Asus,Notebook,15.6,2.7,8,SSD,256,Nvidia GeForce GTX 960M,2,i7,1299.0
517,Mediacom,Notebook,13.3,1.1,4,SSD,32,Intel HD Graphics 500,1.2,Quad Core,369.0
518,Asus,Gaming,15.6,2.5,8,SSD,128,Nvidia GeForce GTX 1060,2.3,i5,1649.0
519,Dell,Notebook,15.6,2.8,8,SSD,256,Nvidia GeForce 930MX,1.93,i7,1369.0
520,Dell,Notebook,15.6,1.6,8,SSD,256,AMD Radeon 530,2.2,i5,797.41
521,HP,Notebook,15.6,1.6,4,SSD,256,Intel HD Graphics 405,1.86,Quad Core,398.99
522,HP,Gaming,17.3,2.8,12,HDD,1000,Nvidia GeForce GTX 1060,2.62,i7,1799.0
